Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2023-01-04 09:30:00,,Microscope check cracks,2023-01-04 11:30:00,,"",PLINE300,2,guo48,"",INS300,98300/14175
2023-01-04 09:30:00,,recipe creation,2023-01-04 10:00:00,,"",PLINE300,0.5,dauend87,"",H6300_2,98600/00962
2023-01-04 09:30:00,0,test,2023-01-04 10:00:00,0.27944444444444444,cloost23,PLINE300,0.5,dilien72,"",TR3400,31199/30079
2023-01-04 09:30:00,0,test,2023-01-04 10:00:00,0.2872222222222222,cloost23,PLINE300,0.5,dilien72,"",SC3400,31199/30079
2023-01-04 09:52:30,0,MOKE dev JDP KLA,2023-01-04 12:00:16,2.1294444444444443,talmel16,PLINE300,2,talmel16,"",POLARKERR_2,38199/00432
2023-01-04 09:56:58,,"",2023-01-04 13:56:25,3.9908333333333332,zeleni15,PLINE300,,"","",HELIOS1200_2,39320/36502
2023-01-04 10:00:00,,for Mohand,2023-01-04 11:00:00,,"",PLINE300,1,raymae79,"",HITACHI5000,31199/01918
2023-01-04 10:00:00,,hmq and measurement,2023-01-04 14:00:00,,"",PLINE300,4,canga29,"",YS375,38199/02270
2023-01-04 10:00:00,,INPRIA,2023-01-04 14:00:00,,"",PLINE300,4,choudr12,"",TR3300,31199/31247
2023-01-04 10:00:00,,making samples,2023-01-04 11:00:00,,"",PLINE300,1,genjim61,"",SC3400,31199/02273
2023-01-04 10:00:00,,making samples,2023-01-04 11:00:00,,"",PLINE300,1,genjim61,"",TR3400,31199/02273
2023-01-04 10:00:00,,Removal Rate determination 3 dif,2023-01-04 17:30:00,,"",PLINE300,7.5,kenens78,LP1;LP2;CLN,REFLEXION_4,98850/02021
2023-01-04 10:00:00,,SALSA3 development,2023-01-04 11:00:00,,"",PLINE300,1,herman57,BOTL,TR1950,31199/00653
2023-01-04 10:00:00,,training,2023-01-04 11:00:00,,"",PLINE300,1,drent34,"",TR2000,31199/31811
2023-01-04 11:00:00,,coupon etching,2023-01-04 13:00:00,,"",PLINE300,2,fathze21,LP2;PM3,LAM_E5,31299/02062
2023-01-04 11:00:00,,i,2023-01-04 12:00:00,,"",PLINE300,1,raymae79,"",H6300,31199/01918
2023-01-04 11:00:00,,lam work,2023-01-04 13:00:00,,"",PLINE300,2,haider15,"",H6300_2,31199/01617
2023-01-04 11:00:00,,light training,2023-01-04 12:00:00,,"",PLINE300,1,peters25,"",KLA2925,31199/02273
2023-01-04 11:00:00,,pwec,2023-01-04 13:00:00,,"",PLINE300,2,baudem,"",HITACHI5000,31199/01920
2023-01-04 11:30:00,,devinp operation,2023-01-04 12:30:00,,"",PLINE300,1,mudige97,LP2;P1L2,NOKOTA,32299/00013
2023-01-04 12:00:00,,High NA track qualification,2023-01-04 16:00:00,,"",PLINE300,4,vdbroecn,"",SC3400,31199/02273
2023-01-04 12:00:00,,High NA track qualification,2023-01-04 16:00:00,,"",PLINE300,4,vdbroecn,"",TR3400,31199/02273
2023-01-04 12:00:00,,MAZO/ZMO o3 process,2023-01-04 16:00:00,,"",PLINE300,4,thukka30,LP1;PM1,XP4_4,30990/32063
2023-01-04 12:00:00,,scrjdp,2023-01-04 14:00:00,,"",PLINE300,2,vanderey,"",H6300,31199/31191
2023-01-04 12:00:00,,test,2023-01-04 13:00:00,,"",PLINE300,1,dilien72,"",SP5,31199/30079
2023-01-04 12:30:00,,Monitor,2023-01-04 15:00:00,,"",PLINE300,2.5,schoof76,PM,EP5,31199/00653
2023-01-04 12:30:00,,sem nil;sem NIL,2023-01-04 15:30:00,,"",PLINE300,3,willegem,"",NOVA200_2,97401/01743
2023-01-04 12:30:00,,x-section SEM,2023-01-04 15:30:00,,"",PLINE200,3,stokhof,"",NOVA200,30990/02250
2023-01-04 13:00:00,,EUVR,2023-01-04 15:00:00,,"",PLINE300,2,kim94,"",HITACHI5000,31199/01680
2023-01-04 13:00:00,,Pellicle;pellicle,2023-01-05 03:00:00,,"",PLINE300,14,bekaert,"",YS250,31199/00979
2023-01-04 13:00:00,,test,2023-01-04 15:00:00,,"",PLINE300,2,dilien72,PM,EDR7100,31199/30079
2023-01-04 13:00:00,,test,2023-01-04 15:00:00,,"",PLINE300,2,furuka28,"",H6300_2,31199/01514
2023-01-04 14:00:00,,FIB,2023-01-04 18:00:00,,"",PLINE300,4,impagn97,"",HELIOS460,42199/00160
2023-01-04 14:00:00,,i,2023-01-04 15:00:00,,"",PLINE300,1,dusar,"",SEMVISION,31029/01811
2023-01-04 14:00:00,,Measurement,2023-01-04 15:00:00,,"",PLINE300,1,wang24,"",HITACHI9380,31199/01889
2023-01-04 14:00:00,,Use,2023-01-04 17:00:00,,"",PLINE300,3,zidan45,"",H6300,31199/01988
2023-01-04 14:00:00,0,AL218747/3 D17 D18 D21,2023-01-04 18:00:00,1.7944444444444445,beggia74,PLINE300,4,beggia74,"",PROVISION2E,31199/00653
2023-01-04 14:00:00,0,i,2023-01-04 15:02:19,0.9927777777777778,vrancken,PLINE300,1,vrancken,"",HELIOS1200_2,37092/02172
2023-01-04 14:14:30,,"",2023-01-04 18:05:01,3.8419444444444446,derudd92,PLINE300,,"","",HELIOS1200,39320/36502
2023-01-04 14:17:25,,"",2023-01-04 17:14:31,2.9516666666666667,vrebos45,PLINE300,,"","",VERIOS,39320/36502
2023-01-04 15:00:00,,Data copy,2023-01-04 15:30:00,,"",PLINE300,0.5,hasan30,PM,EP5,31199/01876
2023-01-04 15:00:00,,DSA,2023-01-04 15:30:00,,"",PLINE300,0.5,kampit73,"",H5000_2,31199/01680
2023-01-04 15:00:00,,MHM,2023-01-04 15:30:00,,"",PLINE300,0.5,kampit73,LP1;PM1,LAM_E5_2,31199/01680
2023-01-04 15:00:00,,recipe,2023-01-04 17:00:00,,"",PLINE300,2,vdbroecn,"",H6300_2,31199/31811
2023-01-04 15:00:00,,Use,2023-01-04 16:00:00,,"",PLINE300,1,debruy71,"",HITACHI5000,38199/37862
2023-01-04 15:00:00,0,DEVINPs,2023-01-04 16:30:00,1.3186111111111112,janard53,PLINE300,1.5,janard53,"",SEMVISION,37092/02170
2023-01-04 15:10:56,,"",2023-01-04 18:11:00,3.0011111111111113,lookma25,PLINE300,,"","",HELIOS1200_2,37092/02172
2023-01-04 15:30:00,,coat,2023-01-04 16:00:00,,"",PLINE300,0.5,dauend87,"",TR2000,98601/00962
2023-01-04 15:30:00,,TEM prep,2023-01-04 17:30:00,,"",PLINE300,2,seidelf,"",HELIOS_G5,39320/36502
2023-01-04 16:00:00,,DEVINP,2023-01-04 19:00:00,,"",PLINE300,3,debacker,"",HITACHI5000,31199/00653
2023-01-04 16:00:00,,MAZO w/ O3,2023-01-05 00:00:00,,"",PLINE300,8,pavel13,LP1;PM1,XP4_4,31499/01284
2023-01-04 16:00:00,,Merck JDP,2023-01-04 17:00:00,,"",PLINE300,1,verstr99,"",SC3400,31199/00650
2023-01-04 16:00:00,,Merck JDP,2023-01-04 17:00:00,,"",PLINE300,1,verstr99,"",TR3400,31199/00650
2023-01-04 16:00:00,0,EBR clean BB510,2023-01-04 21:30:00,3.6975,lefevr14,PLINE200,3.5,lefevr14,"",DEBOND_CLEANER,98300/01618
2023-01-04 16:30:00,0,DEVINPs,2023-01-04 19:04:03,2.2330555555555556,janard53,PLINE300,2,janard53,LP1;LP2;LP3;PM2;PM3;PM1,CIRCL,38199/01715
2023-01-04 16:30:00,0,sem,2023-01-04 18:00:00,0.5661111111111111,beirnaer,PLINE300,1.5,beirnaer,"",SEMVISION,32299/00013
2023-01-04 17:00:00,,APC,2023-01-04 18:00:00,,"",PLINE300,1,das89,"",H6300,31199/02287
2023-01-04 17:00:00,,DSA,2023-01-04 19:00:00,,"",PLINE300,2,verstr99,"",H6300_2,31199/00650
